sid,"nazov"
1,"Slovensko"
2,"Afganistan"
3,"Albánsko"
4,"Alžírsko"
5,"Andorra"
6,"Angola"
7,"Antigua a Barbuda"
8,"Argentína"
10,"Austrália"
11,"Azerbajdžan"
12,"Bahamy"
13,"Bahrajn"
14,"Bangladéš"
15,"Barbados"
16,"Belgicko"
17,"Belize"
18,"Benin"
19,"Bhután"
20,"Bielorusko"
21,"Bolívia"
22,"Bosna Hercegovina"
23,"Botswana"
24,"Brazília"
25,"Brunej"
26,"Bulharsko"
27,"Burkina Faso"
28,"Burundi"
29,"Cyprus"
30,"Čad"
31,"Česko"
32,"Čierna Hora"
33,"Čile"
34,"Čína"
35,"Dánsko"
36,"Dominika"
37,"Dominikánska republika"
38,"Džibutsko"
39,"Egypt"
40,"Ekvádor"
41,"Eritrea"
42,"Estónsko"
43,"Etiópia"
44,"Fidži"
45,"Filipíny"
46,"Fínsko"
47,"Francúzsko"
48,"Gabon"
49,"Gambia"
50,"Ghana"
51,"Grenada"
52,"Grécko"
53,"Gruzínsko"
54,"Guatemala"
55,"Guinea"
56,"Guinea - Bissau"
57,"Guyana"
58,"Haiti"
59,"Holandsko"
60,"Honduras"
62,"India"
63,"Indonézia"
64,"Irak"
65,"Irán"
66,"Island"
67,"Izrael"
68,"Írsko"
69,"Jamajka"
70,"Japonsko"
71,"Jemen"
72,"Jordánsko"
73,"Južná Afrika"
74,"Kambodža"
75,"Kamerun"
76,"Kanada"
77,"Kapverdy"
78,"Katar"
79,"Kazachstan"
80,"Keňa"
81,"Kirgizsko"
82,"Kiribati"
83,"Kolumbia"
84,"Komory"
85,"Kongo"
86,"Kongo (bývalý Zair)"
87,"Kostarika"
88,"Kórejská republika (Južná Kórea)"
89,"Kórejská ľudovodemokratická republika (Severná Kórea)"
90,"Kuba"
91,"Kuvajt"
92,"Laos"
93,"Lesotho"
94,"Libanon"
95,"Libéria"
96,"Lichtenštajnsko"
97,"Litva"
98,"Líbya"
99,"Lotyšsko"
100,"Luxembursko"
101,"Macedónsko"
102,"Madagaskar"
103,"Malajzia"
104,"Malawi"
105,"Maldivy"
106,"Mali"
107,"Malta"
108,"Maroko"
109,"Marshallove ostrovy"
110,"Mauritánia"
111,"Maurícius"
112,"Maďarsko"
113,"Mexiko"
114,"Mikronézia"
115,"Mjanmarsko"
116,"Moldavsko"
117,"Monako"
118,"Mongolsko"
119,"Mozambik"
120,"Namíbia"
121,"Nemecko"
122,"Nepál"
123,"Niger"
124,"Nigéria"
125,"Nikaragua"
126,"Nový Zéland"
127,"Nórsko"
128,"Omán"
129,"Pakistan"
130,"Palau"
131,"Palestína"
132,"Panama"
133,"Papua-Nová Guinea"
134,"Paraguaj"
135,"Peru"
136,"Pobrežie Slonoviny"
137,"Portugalsko"
138,"Poľsko"
139,"Rakúsko"
140,"Rovníková Guinea"
141,"Rumunsko"
142,"Rusko"
143,"Rwanda"
144,"Salvádor"
145,"Samoa"
146,"San Maríno"
147,"Saudská Arábia"
148,"Senegal"
149,"Seychely"
150,"Sierra Leone"
151,"Singapur"
152,"Slovinsko"
153,"Somálsko"
154,"Spojené arabské emiráty"
155,"Spojené kráľovstvo"
156,"Spojené štáty"
157,"Srbsko"
158,"Srí Lanka"
159,"Stredoafrická republika"
160,"Sudán"
161,"Surinam"
162,"Svazijsko"
163,"Svätá Lucia"
164,"Svätý Krištof a Nevis"
165,"Svätý Tomáš a Princov ostrov"
166,"Svätý Vincent a Grenadíny"
167,"Sýria"
168,"Šalamúnove ostrovy"
169,"Španielsko"
170,"Švajčiarsko"
171,"Švédsko"
172,"Tadžikistan"
173,"Taliansko"
174,"Tanzánia"
175,"Thajsko"
176,"Togo"
177,"Tonga"
178,"Trinidad a Tobago"
179,"Tunisko"
180,"Turecko"
181,"Turkménsko"
182,"Tuvalu"
183,"Uganda"
184,"Ukrajina"
185,"Uruguaj"
186,"Uzbekistan"
187,"Vanuatu"
188,"Vatikán"
189,"Venezuela"
190,"Vietnam"
191,"Východný Timor"
192,"Zambia"
193,"Zimbabwe"
194,"Zvrchovaný rád maltézskych rytierov"
61,"Chorvátsko"



