sid,verejny_cinnitel_sid,uzivatel_sid,"popis","sposob_nadobudnutia","rok_nadobudnutia",nadobudacia_hodnota,"mena","typ_vlastnictva","rok_predaja","poznamky"
3,41,27,"nevlastnim","4","2008",0,"1","1","",""
4,45,27,"nevlastnim","4","2008",0,"1","1",NULL,""
8,65,46,"motorový čln","2","2008",700000,"3","1",NULL,""
7,64,46,"motorový čln","2","2008",700000,"3","1","",""
9,86,42,"zbierka umeleckých predmetov","1","2009",60000,"1","1","","Základom zbierky je dedičstvo, postupne sa rozrástla o ospbné dary a kúpy"
10,88,42,"zbierka umeleckých predmetov","1","2009",60000,"1","1",NULL,"Základom zbierky je dedičstvo, postupne sa rozrástla o ospbné dary a kúpy"
11,171,144,"auto","2","2007",1000000,"1","1","2007",""
12,417,144,"auto","2","2007",1000000,"1","1","2007",""
13,235,209,"nevlastním hnutelný majetok nad 300000 Sk","2","2009",0,"1","1","",""
14,492,209,"nevlastním hnutelný majetok nad 300000 Sk","2","2009",0,"1","1",NULL,""
21,597,292,"osobné vozidlo Citroen C3","2","2009",390000,"1","1",NULL,""
17,318,292,"osobné vozidlo Citroen C3","2","2009",390000,"1","1","",""
18,559,292,"osobné vozidlo Citroen C3","2","2009",390000,"1","1",NULL,""
19,320,294,"zbierka obrazov","2","2008",500000,"1","1","",""
20,574,294,"zbierka obrazov","2","2008",500000,"1","1",NULL,""
22,177,150,"vybavenie domácnosti","2","2009",100000,"1","1","",""
23,608,150,"vybavenie domácnosti","2","2009",100000,"1","1",NULL,""
24,624,294,"zbierka obrazov","2","2008",500000,"1","1",NULL,""
29,706,19,"Vybavenie domu a chalupy","2","2006",500000,"1","3","",""
31,712,19,"Vybavenie domu a chalupy","2","2006",500000,"1","3",NULL,""
32,752,19,"Vybavenie domu a chalupy","2","2006",500000,"1","3",NULL,""
36,225,199,"akcie","1","2009",300000,"1","2","",""
37,800,199,"akcie","1","2009",300000,"1","2",NULL,""
38,239,213,"nemám jednotlivý hnuteľný majetok nad 300000Sk","1","2009",0,"1","1","",""
39,806,213,"nemám jednotlivý hnuteľný majetok nad 300000Sk","1","2009",0,"1","1",NULL,""
40,246,220,"nemám iný hnuteľný majetok","4","2009",0,"1","1","",""
41,807,220,"nemám iný hnuteľný majetok","4","2009",0,"1","1",NULL,""



